spam,v2,v2clean,v2_clean,spam_clean,spam_clean_encoded
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Just forced myself to eat a slice I'm really not hungry tho This sucks Mark is getting worried He knows I'm sick when I turn down pizza Lol,just forced myself to eat a slice i'm really not hungry tho this sucks mark is getting worried he knows i'm sick when i turn down pizza lol,force eat slice hungry tho sucks mark worried know sick turn pizza lol,"[1, 127, 1, 534, 450, 1, 766, 944, 7, 767, 565, 848, 94]"
0,Lol your always so convincing.,Lol your always so convincing,lol your always so convincing,lol convincing,"[94, 1]"
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Did you catch the bus  Are you frying an egg  Did you make a tea Are you eating your mom's left over dinner  Do you feel my Love ,did you catch the bus  are you frying an egg  did you make a tea are you eating your mom's left over dinner  do you feel my love,catch bus   fry egg   tea eat mom leave dinner   feel love,"[469, 257, 1, 1, 1, 127, 371, 51, 216, 64, 17]"
0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",I'm back amp we're packing the car now I'll let you know if there's room,i'm back amp we're packing the car now i'll let you know if there's room,amp pack car let know room,"[82, 1, 165, 74, 7, 193]"
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh Work I vaguely remember that What does it feel like Lol,ahhh work i vaguely remember that what does it feel like lol,ahhh work vaguely remember feel like lol,"[1, 37, 1, 226, 64, 13, 94]"
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",Wait that's still not all that clear were you not sure about me being sarcastic or that that's why x doesn't want to live with us,wait that's still not all that clear were you not sure about me being sarcastic or that that's why x doesn't want to live with us,wait clear sure sarcastic x want live,"[52, 768, 99, 1, 145, 14, 130]"
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,Yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that Till 2 But we won't go there Not doing too badly cheers You ,yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2 but we won't go there not doing too badly cheers you,yeah 2 v apologetic n fall actin like spoilt child catch till 2 badly cheer,"[76, 3, 132, 1, 32, 501, 1, 13, 1, 707, 469, 328, 3, 1, 614]"
0,K tell me anything about you.,K tell me anything about you,k tell me anything about you,k tell,"[98, 19]"
0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,For fear of fainting with the of all that housework you just did Quick have a cuppa,for fear of fainting with the of all that housework you just did quick have a cuppa,fear faint housework quick cuppa,"[1, 1, 1, 849, 1]"
1,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged å5month Please confirm by replying YES or NO If you reply NO you will not be charged,thanks for your subscription to ringtone uk your mobile will be charged å5month please confirm by replying yes or no if you reply no you will not be charged,thank subscription ringtone uk mobile charge å5month confirm reply yes reply charge,"[66, 1, 258, 343, 31, 208, 1, 535, 25, 75, 25, 208]"
0,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Yup Ok i go home look at the timings then i msg Ì again Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look at the timings then i msg ì again xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok home look timing msg ì xuhui learn 2nd lesson 8,"[173, 8, 23, 96, 1, 70, 43, 1, 850, 266, 302, 372]"
0,"Oops, I'll let you know when my roommate's done",Oops I'll let you know when my roommate's done,oops i'll let you know when my roommate's done,oops let know roommate,"[1, 74, 7, 851]"
0,I see the letter B on my car,I see the letter B on my car,i see the letter b on my car,letter b car,"[852, 110, 165]"
0,Anything lor... U decide...,Anything lor U decide,anything lor u decide,lor u decide,"[24, 2, 294]"
0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Hello How's you and how did saturday go I was just texting to see if you'd decided to do anything tomo Not that i'm trying to invite myself or anything,hello how's you and how did saturday go i was just texting to see if you'd decided to do anything tomo not that i'm trying to invite myself or anything,hello saturday texte decide tomo try invite,"[146, 470, 708, 294, 451, 49, 361]"
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls go ahead with watts I just wanted to be sure Do have a great weekend Abiola,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,pls ahead watt want sure great weekend abiola,"[58, 945, 1, 14, 99, 48, 191, 666]"
0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",Did I forget to tell you  I want you  I need you I crave you  But most of all  I love you my sweet Arabian steed  Mmmmmm  Yummy,did i forget to tell you  i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy,forget tell   want   need crave     love sweet arabian steed   mmmmmm   yummy,"[160, 19, 14, 21, 615, 17, 217, 1, 1, 1, 1]"
1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351  Rodger Burns  MSG  We tried to call you re your reply to our sms for a free nokia mobile  free camcorder Please call now 08000930705 for delivery tomorrow,07732584351  rodger burns  msg  we tried to call you re your reply to our sms for a free nokia mobile  free camcorder please call now 08000930705 for delivery tomorrow,07732584351   rodger burn   msg   try reply sms free nokia mobile   free camcorder 08000930705 delivery tomorrow,"[1, 1, 1, 70, 49, 25, 194, 10, 100, 31, 10, 502, 471, 362, 73]"
0,WHO ARE YOU SEEING?,WHO ARE YOU SEEING,who are you seeing,,[]
0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,Great I hope you like your man well endowed I am  ltgt  inches,great i hope you like your man well endowed i am  ltgt  inches,great hope like man endowed   ltgt   inch,"[48, 44, 13, 128, 1, 9, 1]"
0,No calls..messages..missed calls,No callsmessagesmissed calls,no callsmessagesmissed calls,callsmessagesmissed,[1]
0,Didn't you get hep b immunisation in nigeria.,Didn't you get hep b immunisation in nigeria,didn't you get hep b immunisation in nigeria,hep b immunisation nigeria,"[1, 110, 1, 853]"
0,"Fair enough, anything going on?",Fair enough anything going on,fair enough anything going on,fair,[1]
0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",Yeah hopefully if tyler can't do it I could maybe ask around a bit,yeah hopefully if tyler can't do it i could maybe ask around a bit,yeah hopefully tyler maybe ask bit,"[76, 1, 1, 259, 38, 166]"
0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,U don't know how stubborn I am I didn't even want to go to the hospital I kept telling Mark I'm not a weak sucker Hospitals are for weak suckers,u don't know how stubborn i am i didn't even want to go to the hospital i kept telling mark i'm not a weak sucker hospitals are for weak suckers,u know stubborn want hospital tell mark weak sucker hospital weak sucker,"[2, 7, 1, 14, 616, 19, 766, 1, 1, 616, 1, 1]"
0,What you thinked about me. First time you saw me in class.,What you thinked about me First time you saw me in class,what you thinked about me first time you saw me in class,think time class,"[20, 16, 151]"
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",A gram usually runs like  ltgt  a half eighth is smarter though and gets you almost a whole second gram for  ltgt,a gram usually runs like  ltgt  a half eighth is smarter though and gets you almost a whole second gram for  ltgt,gram usually run like   ltgt   half eighth smart second gram   ltgt,"[1, 1, 202, 13, 9, 198, 1, 1, 373, 1, 9]"
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride early tomorrow morning crash place tonight,"[98, 1, 145, 1, 149, 73, 85, 1, 111, 115]"
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",Wow I never realized that you were so embarassed by your accomodations I thought you liked it since i was doing the best i could and you always seemed so happy about the cave I'm sorry I didn't and don't have more to give I'm sorry i offered I'm sorry your room was so embarassing,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave i'm sorry i didn't and don't have more to give i'm sorry i offered i'm sorry your room was so embarassing,wow realize embarassed accomodation think like good happy cave sorry sorry offer sorry room embarassing,"[617, 946, 1, 1, 20, 13, 11, 59, 1, 28, 28, 152, 28, 193, 1]"
1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS ac Sptv The New Jersey Devils and the Detroit Red Wings play Ice Hockey Correct or Incorrect End Reply END SPTV,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,sms ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,"[194, 1, 1, 34, 1, 1, 1, 1, 1, 153, 854, 1, 618, 1, 108, 25, 108, 1]"
0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,Do you know what Mallika Sherawat did yesterday Find out now   ltURLgt,do you know what mallika sherawat did yesterday find out now   lturlgt,know mallika sherawat yesterday find    lturlgt,"[7, 1, 1, 344, 71, 1]"
1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",Congrats 1 year special cinema pass for 2 is yours call 09061209465 now C Suprman V Matrix3 StarWars3 etc all 4 FREE bx420ip45we 150pm Dont miss out ,congrats 1 year special cinema pass for 2 is yours call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm dont miss out,congrat 1 year special cinema pass 2 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm miss,"[472, 77, 90, 174, 855, 473, 3, 1, 81, 1, 132, 1, 1, 566, 6, 10, 1, 1, 42]"
0,"Sorry, I'll call later in meeting.",Sorry I'll call later in meeting,sorry i'll call later in meeting,sorry later meeting,"[28, 36, 393]"
0,Tell where you reached,Tell where you reached,tell where you reached,tell reach,"[19, 139]"
0,Yes..gauti and sehwag out of odi series.,Yesgauti and sehwag out of odi series,yesgauti and sehwag out of odi series,yesgauti sehwag odi series,"[1, 1, 1, 1]"
0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Your gonna have to pick up a 1 burger for yourself on your way home I can't even move Pain is killing me,your gonna have to pick up a 1 burger for yourself on your way home i can't even move pain is killing me,pick 1 burger way home pain kill,"[72, 77, 1, 65, 23, 312, 947]"
0,Ha ha ha good joke. Girls are situation seekers.,Ha ha ha good joke Girls are situation seekers,ha ha ha good joke girls are situation seekers,ha ha ha good joke girl situation seeker,"[467, 467, 467, 11, 464, 140, 709, 1]"
0,Its a part of checking IQ,Its a part of checking IQ,its a part of checking iq,check iq,"[129, 1]"
0,"Sorry my roommates took forever, it ok if I come by now?",Sorry my roommates took forever it ok if I come by now,sorry my roommates took forever it ok if i come by now,sorry roommate forever ok come,"[28, 851, 769, 8, 5]"
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Ok lar i double check wif da hair dresser already he said wun cut v short He said will cut until i look nice,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,ok lar double check wif da hair dresser wun cut v short cut look nice,"[8, 196, 345, 129, 291, 39, 329, 1, 948, 474, 132, 567, 474, 96, 120]"
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",As a valued customer I am pleased to advise you that following recent review of your Mob No you are awarded with a å1500 Bonus Prize call 09066364589,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a å1500 bonus prize call 09066364589,value customer pleased advise follow recent review mob award å1500 bonus prize 09066364589,"[447, 117, 1, 1, 503, 1, 1, 313, 107, 1, 374, 68, 1]"
0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",Today is song dedicated day Which song will u dedicate for me Send this to all ur valuable frnds but first rply me,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,today song dedicated day song u dedicate send ur valuable frnd rply,"[29, 475, 1, 15, 475, 2, 1, 12, 4, 1, 282, 710]"
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",Urgent UR awarded a complimentary trip to EuroDisinc Trav AcoEntry41 Or å1000 To claim txt DIS to 87121 186å150moreFrmMob ShrAcomOrSglSuplt10 LS1 3AJ,urgent ur awarded a complimentary trip to eurodisinc trav acoentry41 or å1000 to claim txt dis to 87121 186å150morefrmmob shracomorsglsuplt10 ls1 3aj,urgent ur award complimentary trip eurodisinc trav acoentry41 å1000 claim txt dis 87121 186å150morefrmmob shracomorsglsuplt10 ls1 3aj,"[109, 4, 107, 619, 346, 1, 1, 1, 218, 46, 22, 267, 1, 1, 1, 1, 1]"
1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",Did you hear about the new Divorce Barbie It comes with all of Ken's stuff,did you hear about the new divorce barbie it comes with all of ken's stuff,hear new divorce barbie come ken stuff,"[175, 34, 1, 1, 5, 1, 154]"
0,I plane to give on this month end.,I plane to give on this month end,i plane to give on this month end,plane month end,"[1, 172, 108]"
0,Wah lucky man... Then can save money... Hee...,Wah lucky man Then can save money Hee,wah lucky man then can save money hee,wah lucky man save money hee,"[1, 452, 128, 504, 121, 568]"
0,Finished class where are you.,Finished class where are you,finished class where are you,finish class,"[106, 151]"
0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,HI BABE IM AT HOME NOW WANNA DO SOMETHING XX,hi babe im at home now wanna do something xx,hi babe m home wanna xx,"[40, 80, 63, 23, 199, 667]"
0,K..k:)where are you?how did you performed?,Kkwhere are youhow did you performed,kkwhere are youhow did you performed,kkwhere youhow perform,"[1, 1, 1]"
0,U can call me now...,U can call me now,u can call me now,u,[2]
0,I am waiting machan. Call me once you free.,I am waiting machan Call me once you free,i am waiting machan call me once you free,wait machan free,"[52, 1, 10]"
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,Thats cool i am a gentleman and will treat you with dignity and respect,thats cool i am a gentleman and will treat you with dignity and respect,s cool gentleman treat dignity respect,"[47, 184, 1, 409, 1, 1]"
0,I like you peoples very much:) but am very shy pa.,I like you peoples very much but am very shy pa,i like you peoples very much but am very shy pa,like people shy pa,"[13, 135, 1, 243]"
0,Does not operate after  &lt;#&gt;  or what,Does not operate after  ltgt  or what,does not operate after  ltgt  or what,operate   ltgt  ,"[1, 9]"
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,Its not the same here Still looking for a job How much do Ta's earn there,its not the same here still looking for a job how much do ta's earn there,look job ta earn,"[96, 161, 1, 1]"
0,"Sorry, I'll call later",Sorry I'll call later,sorry i'll call later,sorry later,"[28, 36]"
0,K. Did you call me just now ah? ,K Did you call me just now ah ,k did you call me just now ah,k ah,"[98, 268]"
0,Ok i am on the way to home hi hi,Ok i am on the way to home hi hi,ok i am on the way to home hi hi,ok way home hi hi,"[8, 65, 23, 40, 40]"
0,You will be in the place of that man,You will be in the place of that man,you will be in the place of that man,place man,"[111, 128]"
0,Yup next stop.,Yup next stop,yup next stop,yup stop,"[173, 26]"
0,"I call you later, don't have network. If urgnt, sms me.",I call you later don't have network If urgnt sms me,i call you later don't have network if urgnt sms me,later network urgnt sm,"[36, 233, 1, 1]"
0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,For real when u getting on yo I only need 2 more tickets and one more jacket and I'm done I already used all my multis,for real when u getting on yo i only need 2 more tickets and one more jacket and i'm done i already used all my multis,real u yo need 2 ticket jacket multis,"[209, 2, 203, 21, 3, 476, 1, 1]"
0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,Yes I started to send requests to make it but pain came back so I'm back in bed Double coins at the factory too I gotta cash in all my nitros,yes i started to send requests to make it but pain came back so i'm back in bed double coins at the factory too i gotta cash in all my nitros,yes start send request pain come bed double coin factory cash nitro,"[75, 105, 12, 662, 312, 5, 244, 345, 1, 1, 89, 1]"
0,I'm really not up to it still tonight babe,I'm really not up to it still tonight babe,i'm really not up to it still tonight babe,tonight babe,"[115, 80]"
0,"Ela kano.,il download, come wen ur free..",Ela kanoil download come wen ur free,ela kanoil download come wen ur free,ela kanoil download come wen ur free,"[1, 1, 427, 5, 330, 4, 10]"
0,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,Yeah do DonÛt stand to close tho youÛll catch something,yeah do donût stand to close tho youûll catch something,yeah donût stand close tho youûll catch,"[76, 1, 668, 303, 450, 1, 469]"
0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,Sorry to be a pain Is it ok if we meet another night I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that Sorry ,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that sorry,sorry pain ok meet night spend late afternoon casualty mean y stuff42moro include time sheet sorry,"[28, 312, 8, 50, 45, 375, 67, 283, 1, 116, 176, 1, 949, 16, 1, 28]"
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling,smile pleasure smile pain smile trouble pour like rain smile sum1 hurt u smile becoz love u smile,"[101, 856, 101, 312, 101, 857, 1, 13, 505, 101, 1, 245, 2, 101, 1, 17, 2, 101]"
